2018.11.06 01:33:14 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2018.11.06 01:33:15 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2018.11.06 01:33:16 INFO  web[][o.e.p.PluginsService] no modules loaded
2018.11.06 01:33:16 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.index.reindex.ReindexPlugin]
2018.11.06 01:33:16 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2018.11.06 01:33:16 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2018.11.06 01:33:16 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2018.11.06 01:33:18 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2018.11.06 01:33:18 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 6.7.5.38563 / ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1
2018.11.06 01:33:21 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.11.06 01:33:22 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\Program Files\sonarqube-6.7.5\data
2018.11.06 01:33:22 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.11.06 01:33:22 WARN  web[][o.s.d.DatabaseChecker] H2 database should be used for evaluation purpose only
2018.11.06 01:33:23 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\Program Files\sonarqube-6.7.5
2018.11.06 01:33:23 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Flex / 2.3 / 79167f762219bea1fd181ff5ef6ca4b34abd1675
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarC# / 6.5.0.3766 / 6011a1e9fb002edb044ae3092d92bcfb7d9d8a2d
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 3.2.0.5506 / 86da09565f891121df248835665f5d8ed98772b6
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJava / 4.15.0.12310 / 572454b93016ec73a53fe0e07b2ffdc356d21ba9
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 2.11.0.2485 / 741861a29e5f9a26c6c99c06268facb6c4f4a882
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 1.8.0.1496 / 3fe3bc4d0273a5721ea2fb368dc45b1bb82fede3
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarQube :: Plugins :: SCM :: Git / 1.3.0.869 / 4da53e3f9e55f4f2e5796625cb0c5768ed152079
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarQube :: Plugins :: SCM :: SVN / 1.6.0.860 / 2111fdbd1dddda4ad6d4ed6486fd0b18c1010d3b
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarTS / 1.1.0.1079 / 042c9e65239a47d92d305f9767f730b3cc1e5ed3
2018.11.06 01:33:24 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 1.4.3.1027 / 39588245cecf538bb27be4e496ff303b0143d20b
2018.11.06 01:33:26 WARN  web[][o.a.c.u.SessionIdGeneratorBase] Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [217] milliseconds.
2018.11.06 01:33:26 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@1a3187c [pattern=UrlPattern{inclusions=[/api/system/migrate_db/*, ...], exclusions=[/api/properties*, ...]}]
2018.11.06 01:33:26 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2018.11.06 01:33:27 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2018.11.06 01:33:28 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AWbjZBDclbP9I9-LSvE-
2018.11.06 01:33:28 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2018.11.06 01:33:28 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2018.11.06 01:33:28 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2018.11.06 01:33:29 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2018.11.06 01:33:29 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2018.11.06 01:33:29 INFO  web[][o.s.s.r.RegisterRules] Register rules
2018.11.06 01:33:33 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2018.11.06 01:33:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2018.11.06 01:33:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2018.11.06 01:33:33 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2018.11.06 01:33:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2018.11.06 01:33:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2018.11.06 01:33:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2018.11.06 01:33:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2018.11.06 01:33:34 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
